scenario_index,model_key,alpha,p_event,seed,gate_passing_trajectories,common_rarefied_depth,provenance_unique_endpoints,unlabeled_topology_unique_endpoints,unique_inflation_ratio,provenance_effective_shannon,unlabeled_topology_effective_shannon,effective_shannon_inflation_ratio,copy_identity_normalized_unique_endpoints,copy_identity_unique_inflation_ratio,copy_identity_normalized_effective_shannon,copy_identity_effective_shannon_inflation_ratio,reference_alias_normalized_unique_endpoints,reference_alias_unique_inflation_ratio,reference_alias_normalized_effective_shannon,reference_alias_effective_shannon_inflation_ratio,provenance_inverse_simpson,unlabeled_topology_inverse_simpson,provenance_rarefied_effective_shannon_mean,unlabeled_topology_rarefied_effective_shannon_mean,paired_rarefied_effective_shannon_inflation_mean,paired_rarefied_effective_shannon_inflation_ci_low,paired_rarefied_effective_shannon_inflation_ci_high,copy_identity_normalized_rarefied_effective_shannon_mean,copy_identity_paired_rarefied_inflation_mean,copy_identity_paired_rarefied_inflation_ci_low,copy_identity_paired_rarefied_inflation_ci_high,reference_alias_normalized_rarefied_effective_shannon_mean,reference_alias_paired_rarefied_inflation_mean,reference_alias_paired_rarefied_inflation_ci_low,reference_alias_paired_rarefied_inflation_ci_high,unlabeled_topology_rarefied_ci_low,unlabeled_topology_rarefied_ci_high,topology_groups_merging_multiple_provenance_ids,max_provenance_ids_per_topology,fraction_trajectories_in_merged_topology_groups
42,linear_distance,2.0,0.2,212422559,5255,1144,5119,5119,1.0,4704.451499166669,4704.451499166669,1.0,5119,1.0,4704.451499166669,1.0,5119,1.0,4704.451499166669,1.0,1481.4132825492195,1481.4132825492195,1062.3744013220658,1062.3744013220658,1.0,0.9999999999999991,1.0000000000000009,1062.3744013220658,1.0,0.9999999999999991,1.0000000000000009,1062.3744013220658,1.0,0.9999999999999991,1.0000000000000009,1026.84568386049,1097.4916006208089,0,1,0.0
43,linear_distance,2.0,0.25,1281578188,4468,1144,4433,4433,1.0,4346.999783144,4346.999783144,1.0,4433,1.0,4346.999783144,1.0,4433,1.0,4346.999783144,1.0,3568.649267071863,3568.649267071863,1123.814658898179,1123.814658898179,1.0000000000000002,1.0,1.0000000000000009,1123.814658898179,1.0,1.0,1.000000000000001,1123.814658898179,1.0,1.0,1.000000000000001,1108.6636585637289,1137.8133312768148,0,1,0.0
44,linear_distance,2.0,0.3,3171143693,3710,1144,3698,3698,1.0,3678.9256935620483,3678.9256935620483,1.0,3698,1.0,3678.9256935620483,1.0,3698,1.0,3678.9256935620483,1.0,3580.67117585848,3580.67117585848,1138.780360958709,1138.7803609587086,1.0000000000000004,1.0,1.000000000000001,1138.7803609587088,1.0000000000000002,1.0,1.000000000000001,1138.7803609587088,1.0000000000000002,1.0,1.000000000000001,1130.4594014800155,1143.999999999998,0,1,0.0
45,partial_hic_fallback,0.5,0.03,1710054020,8084,1144,2535,2535,1.0,22.977607203474346,22.977607203474346,1.0,2535,1.0,22.977607203474346,1.0,2535,1.0,22.977607203474346,1.0,2.1641052044779787,2.1641052044779787,12.372215559991735,12.372215559991735,1.0,0.9999999999999996,1.0000000000000004,12.372215559991732,1.0,0.9999999999999996,1.0000000000000007,12.372215559991732,1.0,0.9999999999999996,1.0000000000000007,9.97030401750489,14.747990316572096,0,1,0.0
46,partial_hic_fallback,0.5,0.05,2452768872,6981,1144,3319,3319,1.0,103.31365495222919,103.31365495222919,1.0,3319,1.0,103.31365495222919,1.0,3319,1.0,103.31365495222919,1.0,3.801440221441967,3.801440221441967,42.88586075659352,42.88586075659351,1.0,0.9999999999999996,1.0000000000000009,42.88586075659351,1.0,0.9999999999999994,1.0000000000000004,42.88586075659351,1.0,0.9999999999999994,1.0000000000000004,35.079540257988555,50.54545261487727,0,1,0.0
47,partial_hic_fallback,0.5,0.07,1291112168,6098,1144,3650,3650,1.0,288.70202921179174,288.70202921179174,1.0,3650,1.0,288.70202921179174,1.0,3650,1.0,288.70202921179174,1.0,6.560320803915139,6.560320803915139,107.65935238910085,107.65935238910085,1.0,0.9999999999999991,1.0000000000000009,107.65935238910085,1.0000000000000002,0.9999999999999991,1.0000000000000009,107.65935238910085,1.0000000000000002,0.9999999999999991,1.0000000000000009,89.81237265437295,126.33690057598865,0,1,0.0
48,partial_hic_fallback,0.5,0.09,1982738802,5276,1144,3749,3749,1.0,675.697803732882,675.697803732882,1.0,3749,1.0,675.697803732882,1.0,3749,1.0,675.697803732882,1.0,12.754366817229185,12.754366817229185,227.60859549535002,227.60859549534996,1.0000000000000002,0.9999999999999991,1.0000000000000009,227.60859549534996,1.0000000000000002,0.9999999999999991,1.0000000000000009,227.60859549534996,1.0000000000000002,0.9999999999999991,1.0000000000000009,192.7288529165367,270.18348309300575,0,1,0.0
49,partial_hic_fallback,0.5,0.1,3581944228,4993,1144,3743,3743,1.0,892.0254668049837,892.0254668049837,1.0,3743,1.0,892.0254668049837,1.0,3743,1.0,892.0254668049837,1.0,17.180139577161288,17.180139577161288,295.859282800239,295.85928280023893,1.0,1.0,1.000000000000001,295.85928280023893,1.0000000000000002,1.0,1.0000000000000018,295.85928280023893,1.0000000000000002,1.0,1.0000000000000018,257.4726636413802,339.1006515224004,0,1,0.0
50,partial_hic_fallback,0.5,0.12,2199721088,4218,1144,3444,3443,1.0002904443799012,1273.8910705460148,1271.5883890784341,1.001810870158424,3443,1.0002904443799012,1271.5883890784341,1.001810870158424,3444,1.0,1273.8910705460148,1.0,30.77798844410613,30.697482297403603,437.63394797690523,437.03154709594384,1.0013876021940147,0.9999999999999991,1.0055988328331003,437.03154709594384,1.0013876021940147,0.9999999999999991,1.0055988328331003,437.6339479769051,1.0,0.9999999999999991,1.0000000000000009,390.6992233276799,490.2264546788233,1,2,0.17994310099573257
51,partial_hic_fallback,0.5,0.15,3528955751,3527,1144,3117,3117,1.0,1771.5524870846677,1771.5524870846677,1.0,3117,1.0,1771.5524870846677,1.0,3117,1.0,1771.5524870846677,1.0,75.14227811705292,75.14227811705292,655.5911671531271,655.591167153127,1.0000000000000002,0.9999999999999991,1.000000000000001,655.591167153127,1.0000000000000002,1.0,1.000000000000001,655.591167153127,1.0000000000000002,1.0,1.000000000000001,612.449230042928,715.2149883705497,0,1,0.0
52,partial_hic_fallback,0.5,0.18,4293388631,2758,1144,2572,2572,1.0,1951.466120177263,1951.466120177263,1.0,2572,1.0,1951.466120177263,1.0,2572,1.0,1951.466120177263,1.0,213.0093531223747,213.0093531223747,859.5250906075058,859.5250906075057,1.0,0.9999999999999991,1.0000000000000009,859.5250906075057,1.0,1.0,1.0000000000000009,859.5250906075057,1.0,1.0,1.0000000000000009,818.4656203373388,904.0107997449246,0,1,0.0
53,partial_hic_fallback,0.5,0.2,992375073,2426,1144,2307,2307,1.0,1921.4038767575798,1921.4038767575798,1.0,2307,1.0,1921.4038767575798,1.0,2307,1.0,1921.4038767575798,1.0,362.4954422271496,362.4954422271496,941.355675293062,941.355675293062,1.0,0.999999999999999,1.0000000000000009,941.355675293062,1.0,0.999999999999999,1.0000000000000009,941.355675293062,1.0,0.999999999999999,1.0000000000000009,901.3496771734905,987.0803873463072,0,1,0.0
54,partial_hic_fallback,0.5,0.25,1877462373,1744,1144,1711,1711,1.0,1631.0524017044622,1631.0524017044622,1.0,1711,1.0,1631.0524017044622,1.0,1711,1.0,1631.0524017044622,1.0,1085.487508922198,1085.487508922198,1077.3537181802974,1077.3537181802972,1.0,0.9999999999999991,1.0000000000000009,1077.3537181802974,1.0,0.9999999999999991,1.0,1077.3537181802974,1.0,0.9999999999999991,1.0,1056.2939228711093,1096.8352047139997,0,1,0.0
55,partial_hic_fallback,0.5,0.3,1407851898,1164,1144,1156,1156,1.0,1144.3920090153329,1144.3920090153329,1.0,1156,1.0,1144.3920090153329,1.0,1156,1.0,1144.3920090153329,1.0,1096.1941747572819,1096.1941747572819,1124.980844381196,1124.980844381196,1.0,1.0,1.0,1124.980844381196,1.0,1.0,1.0,1124.980844381196,1.0,1.0,1.0,1124.394912347227,1127.4848367157053,0,1,0.0
56,partial_hic_fallback,1.0,0.03,3083522482,8349,1144,2751,2751,1.0,30.255352951576793,30.255352951576793,1.0,2751,1.0,30.255352951576793,1.0,2751,1.0,30.255352951576793,1.0,2.3655962267366615,2.3655962267366615,15.4183473351633,15.4183473351633,1.0,0.9999999999999996,1.0000000000000004,15.4183473351633,1.0,0.9999999999999996,1.0000000000000009,15.4183473351633,1.0,0.9999999999999996,1.0000000000000009,13.24941657994314,18.099216101974314,0,1,0.0
57,partial_hic_fallback,1.0,0.05,967491237,7314,1144,3582,3582,1.0,132.87557098208202,132.87557098208202,1.0,3582,1.0,132.87557098208202,1.0,3582,1.0,132.87557098208202,1.0,4.233816717841667,4.233816717841667,53.82814825323705,53.82814825323703,1.0,0.9999999999999996,1.0000000000000009,53.82814825323703,1.0,0.9999999999999996,1.0000000000000009,53.82814825323703,1.0,0.9999999999999996,1.0000000000000009,42.18797398136706,66.77979152008069,0,1,0.0
58,partial_hic_fallback,1.0,0.07,3160849969,6632,1144,4030,4030,1.0,374.63299128215766,374.63299128215766,1.0,4030,1.0,374.63299128215766,1.0,4030,1.0,374.63299128215766,1.0,7.554200172438078,7.554200172438078,126.59929321500654,126.59929321500651,1.0000000000000002,0.9999999999999992,1.0000000000000009,126.59929321500651,1.0000000000000002,0.9999999999999991,1.0000000000000009,126.59929321500651,1.0000000000000002,0.9999999999999991,1.0000000000000009,109.0742279424993,145.37452720772322,0,1,0.0
59,partial_hic_fallback,1.0,0.09,2440376121,5685,1144,4097,4097,1.0,851.8439342590739,851.8439342590739,1.0,4097,1.0,851.8439342590739,1.0,4097,1.0,851.8439342590739,1.0,15.213063307536697,15.213063307536697,265.9415764113999,265.94157641139986,1.0000000000000002,1.0,1.000000000000001,265.9415764113999,1.0,0.999999999999999,1.0000000000000009,265.9415764113999,1.0,0.999999999999999,1.0000000000000009,224.94345519319737,302.7744828937466,0,1,0.0
60,partial_hic_fallback,1.0,0.1,655664069,5307,1144,3967,3966,1.0002521432173475,972.7088047763173,971.220457606051,1.0015324503912684,3966,1.0002521432173475,971.220457606051,1.0015324503912684,3967,1.0,972.7088047763173,1.0,18.14925445269502,18.120202586242957,306.76469679081185,306.3327216560988,1.0013839976852013,0.9999999999999992,1.0058039188106762,306.3327216560988,1.0013839976852013,0.9999999999999991,1.0058039188106762,306.76469679081185,1.0,0.9999999999999991,1.000000000000001,262.66059425495354,347.9692536180695,1,2,0.23459581684567551
61,partial_hic_fallback,1.0,0.12,2377434645,4817,1144,3960,3960,1.0,1564.518216699285,1564.518216699285,1.0,3960,1.0,1564.518216699285,1.0,3960,1.0,1564.518216699285,1.0,36.201771123755556,36.201771123755556,475.6355072110608,475.6355072110608,1.0,0.999999999999999,1.0000000000000009,475.6355072110607,1.0000000000000002,1.0,1.0000000000000016,475.6355072110607,1.0000000000000002,1.0,1.0000000000000016,427.35625511791756,528.2708666982587,0,1,0.0
62,partial_hic_fallback,1.0,0.15,3687257994,3981,1144,3561,3561,1.0,2173.7100065012,2173.7100065012,1.0,3561,1.0,2173.7100065012,1.0,3561,1.0,2173.7100065012,1.0,98.28989524996749,98.28989524996749,710.2381971018804,710.2381971018804,1.0,0.999999999999999,1.0000000000000009,710.2381971018804,1.0,0.9999999999999992,1.0000000000000009,710.2381971018804,1.0,0.9999999999999992,1.0000000000000009,654.1841785062994,763.0417431034497,0,1,0.0
63,partial_hic_fallback,1.0,0.18,1937718534,3285,1144,3096,3096,1.0,2461.081769309719,2461.081769309719,1.0,3096,1.0,2461.081769309719,1.0,3096,1.0,2461.081769309719,1.0,303.76425052779734,303.76425052779734,910.2409960249993,910.2409960249993,1.0,0.9999999999999991,1.0000000000000009,910.2409960249993,1.0,0.9999999999999991,1.0000000000000009,910.2409960249993,1.0,0.9999999999999991,1.0000000000000009,865.7514623209829,963.862312368104,0,1,0.0
64,partial_hic_fallback,1.0,0.2,4261704054,2941,1144,2822,2822,1.0,2440.8232559029548,2440.8232559029548,1.0,2822,1.0,2440.8232559029548,1.0,2822,1.0,2440.8232559029548,1.0,546.2255131038837,546.2255131038837,986.0596192753891,986.0596192753891,1.0,0.9999999999999991,1.0000000000000009,986.0596192753893,1.0,0.9999999999999991,1.0000000000000009,986.0596192753893,1.0,0.9999999999999991,1.0000000000000009,945.7596432875669,1031.1252936490064,0,1,0.0
65,partial_hic_fallback,1.0,0.25,2443038446,2162,1144,2136,2136,1.0,2074.8188929428957,2074.8188929428957,1.0,2136,1.0,2074.8188929428957,1.0,2136,1.0,2074.8188929428957,1.0,1632.0684357541902,1632.0684357541902,1105.141430077951,1105.1414300779513,1.0,0.9999999999999992,1.0000000000000009,1105.141430077951,1.0,0.9999999999999992,1.0000000000000009,1105.141430077951,1.0,0.9999999999999992,1.0000000000000009,1089.4015375335741,1121.2043284878287,0,1,0.0
66,partial_hic_fallback,1.0,0.3,1581526928,1562,1144,1556,1556,1.0,1549.9101790340655,1549.9101790340655,1.0,1556,1.0,1549.9101790340655,1.0,1556,1.0,1549.9101790340655,1.0,1530.642409033877,1530.642409033877,1136.7539254435644,1136.7539254435642,1.0,0.999999999999999,1.000000000000001,1136.7539254435642,1.0000000000000002,1.0,1.000000000000001,1136.7539254435642,1.0000000000000002,1.0,1.000000000000001,1131.9273025015962,1140.9828838387918,0,1,0.0
67,partial_hic_fallback,1.5,0.03,3807846787,8388,1144,2808,2808,1.0,33.01450713682952,33.01450713682952,1.0,2808,1.0,33.01450713682952,1.0,2808,1.0,33.01450713682952,1.0,2.43686157044501,2.43686157044501,16.952825179841295,16.952825179841295,1.0,0.9999999999999994,1.0000000000000004,16.952825179841298,1.0,0.9999999999999996,1.0000000000000004,16.952825179841298,1.0,0.9999999999999996,1.0000000000000004,13.854042280651566,21.23136395015087,0,1,0.0
68,partial_hic_fallback,1.5,0.05,2604182243,7374,1144,3531,3531,1.0,133.33817077964534,133.33817077964534,1.0,3531,1.0,133.33817077964534,1.0,3531,1.0,133.33817077964534,1.0,4.269772398688474,4.269772398688474,53.959993381901505,53.959993381901484,1.0,0.9999999999999992,1.0000000000000009,53.959993381901484,1.0,0.9999999999999994,1.0000000000000009,53.959993381901484,1.0,0.9999999999999994,1.0000000000000009,44.768965071334975,64.6483919054916,0,1,0.0
69,partial_hic_fallback,1.5,0.07,2312135107,6526,1144,3990,3990,1.0,395.0645243688347,395.0645243688347,1.0,3990,1.0,395.0645243688347,1.0,3990,1.0,395.0645243688347,1.0,7.892126344658898,7.892126344658898,133.79794269001002,133.79794269001002,1.0,0.9999999999999991,1.0000000000000009,133.79794269001,1.0000000000000002,0.9999999999999991,1.0000000000000009,133.79794269001,1.0000000000000002,0.9999999999999991,1.0000000000000009,115.75348708571097,156.12354674770972,0,1,0.0
70,partial_hic_fallback,1.5,0.09,1859482873,5888,1144,4173,4173,1.0,781.1675234230137,781.1675234230137,1.0,4173,1.0,781.1675234230137,1.0,4173,1.0,781.1675234230137,1.0,13.705733799513897,13.705733799513897,240.56125741861732,240.5612574186173,1.0,0.9999999999999991,1.0000000000000009,240.56125741861723,1.0000000000000002,0.9999999999999991,1.000000000000001,240.56125741861723,1.0000000000000002,0.9999999999999991,1.000000000000001,204.58201300432535,282.32355788885235,0,1,0.0
71,partial_hic_fallback,1.5,0.1,920122771,5595,1144,4254,4253,1.000235128144839,1179.394091606183,1179.101904860527,1.0002478044895455,4253,1.000235128144839,1179.101904860527,1.0002478044895455,4254,1.0,1179.394091606183,1.0,21.6681687075734,21.66813871086306,347.3969991474862,347.37514384840296,1.0000606265145684,0.9999999999999991,1.0012125302913708,347.3751438484029,1.0000606265145686,1.0,1.0012125302913704,347.3969991474862,1.0000000000000002,1.0,1.0000000000000013,306.948761181081,394.6630912362343,1,2,0.00035746201966041106
72,partial_hic_fallback,1.5,0.12,1352135446,4949,1144,4054,4054,1.0,1650.124229880529,1650.124229880529,1.0,4054,1.0,1650.124229880529,1.0,4054,1.0,1650.124229880529,1.0,38.77565071740792,38.77565071740792,494.32178545429133,494.32178545429133,1.0,0.9999999999999991,1.0000000000000009,494.32178545429133,1.0000000000000002,0.9999999999999991,1.0000000000000013,494.32178545429133,1.0000000000000002,0.9999999999999991,1.0000000000000013,432.7760811678207,545.1349603140026,0,1,0.0
73,partial_hic_fallback,1.5,0.15,2004561742,4111,1144,3715,3715,1.0,2411.218741466593,2411.218741466593,1.0,3715,1.0,2411.218741466593,1.0,3715,1.0,2411.218741466593,1.0,123.98172588087702,123.98172588087702,758.239074284082,758.2390742840819,1.0,0.999999999999999,1.0000000000000009,758.2390742840818,1.0,0.9999999999999991,1.000000000000001,758.2390742840818,1.0,0.9999999999999991,1.000000000000001,697.1364077519265,812.1726773999019,0,1,0.0
74,partial_hic_fallback,1.5,0.18,2061484420,3458,1144,3256,3256,1.0,2571.1837592690167,2571.1837592690167,1.0,3256,1.0,2571.1837592690167,1.0,3256,1.0,2571.1837592690167,1.0,297.8124128312412,297.8124128312412,903.4567883794178,903.4567883794178,1.0,0.9999999999999991,1.0000000000000009,903.4567883794178,1.0,0.9999999999999991,1.0000000000000009,903.4567883794178,1.0,0.9999999999999991,1.0000000000000009,852.2171137510289,944.0930015386086,0,1,0.0
75,partial_hic_fallback,1.5,0.2,1091403980,3078,1144,2946,2946,1.0,2524.4852039621856,2524.4852039621856,1.0,2946,1.0,2524.4852039621856,1.0,2946,1.0,2524.4852039621856,1.0,516.3551340745586,516.3551340745586,981.0402906698594,981.0402906698594,1.0,0.9999999999999991,1.0000000000000009,981.0402906698594,1.0,0.999999999999999,1.0000000000000009,981.0402906698594,1.0,0.999999999999999,1.0000000000000009,942.3852176127521,1021.4134410444306,0,1,0.0
76,partial_hic_fallback,1.5,0.25,1135711084,2217,1144,2193,2193,1.0,2140.6848438805014,2140.6848438805014,1.0,2193,1.0,2140.6848438805014,1.0,2193,1.0,2140.6848438805014,1.0,1773.7600144352216,1773.7600144352216,1113.3718281991275,1113.3718281991275,1.0,0.9999999999999992,1.0000000000000009,1113.3718281991275,1.0,0.9999999999999992,1.0000000000000009,1113.3718281991275,1.0,0.9999999999999992,1.0000000000000009,1097.937070801278,1128.3277286881898,0,1,0.0
77,partial_hic_fallback,1.5,0.3,4122858386,1715,1144,1706,1706,1.0,1692.1280338954468,1692.1280338954468,1.0,1706,1.0,1692.1280338954468,1.0,1706,1.0,1692.1280338954468,1.0,1629.4875346260394,1629.4875346260394,1131.1253353128857,1131.1253353128852,1.0000000000000002,1.0,1.000000000000001,1131.1253353128852,1.0,1.0,1.0,1131.1253353128852,1.0,1.0,1.0,1124.394912347227,1138.4682401127905,0,1,0.0
78,partial_hic_fallback,2.0,0.03,1713891987,8402,1144,2722,2722,1.0,30.322153014157383,30.322153014157383,1.0,2722,1.0,30.322153014157383,1.0,2722,1.0,30.322153014157383,1.0,2.3729282308378608,2.3729282308378608,15.815420322283225,15.815420322283225,1.0,0.9999999999999996,1.0000000000000004,15.815420322283222,1.0,0.9999999999999996,1.0000000000000007,15.815420322283222,1.0,0.9999999999999996,1.0000000000000007,13.023411242315788,18.742974532636,0,1,0.0
79,partial_hic_fallback,2.0,0.05,3032681791,7391,1144,3607,3607,1.0,146.01771043378528,146.01771043378528,1.0,3607,1.0,146.01771043378528,1.0,3607,1.0,146.01771043378528,1.0,4.450053142191429,4.450053142191429,58.35162604365648,58.351626043656466,1.0,0.9999999999999991,1.0000000000000009,58.35162604365646,1.0,0.9999999999999991,1.0000000000000009,58.35162604365646,1.0,0.9999999999999991,1.0000000000000009,48.528710829213914,70.58440116516469,0,1,0.0
80,partial_hic_fallback,2.0,0.07,1316201356,6597,1144,4044,4044,1.0,409.41530638056935,409.41530638056935,1.0,4044,1.0,409.41530638056935,1.0,4044,1.0,409.41530638056935,1.0,8.057674223812754,8.057674223812754,138.30695861080912,138.30695861080912,1.0,0.9999999999999991,1.0000000000000009,138.30695861080906,1.0000000000000002,0.9999999999999996,1.000000000000001,138.30695861080906,1.0000000000000002,0.9999999999999996,1.000000000000001,116.03460924302729,166.12491272411452,0,1,0.0
81,partial_hic_fallback,2.0,0.09,3674923251,5881,1144,4185,4185,1.0,853.4796084661599,853.4796084661599,1.0,4185,1.0,853.4796084661599,1.0,4185,1.0,853.4796084661599,1.0,15.057264880984773,15.057264880984773,260.9457268639595,260.94572686395946,1.0000000000000002,0.9999999999999991,1.000000000000001,260.94572686395946,1.0000000000000002,0.9999999999999991,1.000000000000001,260.94572686395946,1.0000000000000002,0.9999999999999991,1.000000000000001,230.3849899138401,297.80912714183285,0,1,0.0
82,partial_hic_fallback,2.0,0.1,1477168291,5523,1144,4213,4213,1.0,1197.9996479110625,1197.9996479110625,1.0,4213,1.0,1197.9996479110625,1.0,4213,1.0,1197.9996479110625,1.0,22.359569924946506,22.359569924946506,358.864869722095,358.864869722095,1.0000000000000002,0.9999999999999991,1.0000000000000009,358.86486972209497,1.0000000000000002,0.9999999999999991,1.000000000000001,358.86486972209497,1.0000000000000002,0.9999999999999991,1.000000000000001,318.00052359182126,400.2896907262864,0,1,0.0
83,partial_hic_fallback,2.0,0.12,2079310279,4813,1144,3927,3927,1.0,1518.7961267959954,1518.7961267959954,1.0,3927,1.0,1518.7961267959954,1.0,3927,1.0,1518.7961267959954,1.0,34.82820268793196,34.82820268793196,465.3527826870117,465.3527826870117,1.0,0.999999999999999,1.0000000000000009,465.35278268701165,1.0,0.999999999999999,1.0000000000000009,465.35278268701165,1.0,0.999999999999999,1.0000000000000009,412.35732734116306,527.2183567063554,0,1,0.0
84,partial_hic_fallback,2.0,0.15,1585545789,4057,1144,3596,3596,1.0,2136.1291123797932,2136.1291123797932,1.0,3596,1.0,2136.1291123797932,1.0,3596,1.0,2136.1291123797932,1.0,90.95266487994921,90.95266487994921,688.9329711312575,688.9329711312577,1.0,0.9999999999999991,1.0000000000000009,688.9329711312575,1.0,0.9999999999999991,1.000000000000001,688.9329711312575,1.0,0.9999999999999991,1.000000000000001,640.5559608521761,747.2751296910486,0,1,0.0
85,partial_hic_fallback,2.0,0.18,3604147398,3407,1144,3221,3221,1.0,2613.9194108508086,2613.9194108508086,1.0,3221,1.0,2613.9194108508086,1.0,3221,1.0,2613.9194108508086,1.0,356.9936644625557,356.9936644625557,930.1104276262663,930.1104276262664,1.0,0.999999999999999,1.0000000000000009,930.1104276262663,1.0,0.999999999999999,1.0000000000000009,930.1104276262663,1.0,0.999999999999999,1.0000000000000009,891.1294980452193,981.8146109902282,0,1,0.0
86,partial_hic_fallback,2.0,0.2,780218145,3060,1144,2937,2937,1.0,2546.1671723366635,2546.1671723366635,1.0,2937,1.0,2546.1671723366635,1.0,2937,1.0,2546.1671723366635,1.0,570.3947368421054,570.3947368421054,991.9076704107641,991.9076704107644,1.0,0.9999999999999991,1.0000000000000009,991.9076704107642,1.0,0.9999999999999991,1.0000000000000009,991.9076704107642,1.0,0.9999999999999991,1.0000000000000009,950.2969856381493,1035.7891912687328,0,1,0.0
87,partial_hic_fallback,2.0,0.25,1592633087,2262,1144,2238,2238,1.0,2182.9426958088975,2182.9426958088975,1.0,2238,1.0,2182.9426958088975,1.0,2238,1.0,2182.9426958088975,1.0,1787.7861635220129,1787.7861635220129,1112.1254130302225,1112.1254130302225,1.0,0.9999999999999992,1.0000000000000009,1112.1254130302225,1.0,1.0,1.0000000000000009,1112.1254130302225,1.0,1.0,1.0000000000000009,1096.8352047139997,1127.4848367157053,0,1,0.0
88,partial_hic_fallback,2.0,0.3,2700327069,1707,1144,1701,1701,1.0,1693.432832005454,1693.432832005454,1.0,1701,1.0,1693.432832005454,1.0,1701,1.0,1693.432832005454,1.0,1666.0085763293307,1666.0085763293307,1136.4626705856133,1136.4626705856126,1.0000000000000007,1.0,1.000000000000001,1136.4626705856126,1.0000000000000007,1.0,1.000000000000001,1136.4626705856126,1.0000000000000007,1.0,1.000000000000001,1130.4594014800155,1142.6145452525188,0,1,0.0
